Title,Company,Location,Qualifications,Url
Machine Learning Engineer - NLP,Taiyo.Ai,Remote,"['Natural language processing', 'Communication skills', 'Scala', 'Machine learning', 'Python', ""Master's degree""]",https://www.simplyhired.co.in/job/EOflWhzySNoNk7rTcQo4hLm0PJqDOl5UXj0YsKWf7DxexeeznLnmCQ?q=data+scientist
Data Science & ML Engineer,Markytics,"Andheri West, Mumbai, Maharashtra","['SQL', 'Django', 'Machine learning', 'Python', 'AWS']",https://www.simplyhired.co.in/job/mtkVLscXY-2bhW9l41F3v49WObHhOJp8iPh-MYSmWeelGmviZMbDNQ?q=data+scientist
Wobot.ai - Computer Vision Engineer,Wobot.ai,Remote,"['Image processing', 'PyTorch', 'Deep learning', 'TensorFlow', 'Computer vision']",https://www.simplyhired.co.in/job/e-AcAsH50pU_2jub3jubP1PBIgY78st77S-VqhlabQWmMI3LStXTBQ?q=data+scientist
Data Scientist,Innobuzz Learning Solutions LLP,"Delhi, Delhi","['Image processing', 'SQL', 'NumPy', 'NoSQL', 'Pandas']",https://www.simplyhired.co.in/job/vw-guIosh09-ZxPmEWE7bluo5FYBvCiU5vwARYGBMfhUx_XaqQyCwA?q=data+scientist
Data Scientist,IBM,"Bengaluru, Karnataka","['React', 'Perl', 'TypeScript', 'SQL', 'Spark', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/NSPBH3tW3sgJdDHixqkFvx3XwOyYQKMIlsrzXv60rb9R3U1q9tQ2Sw?q=data+scientist
Senior Data Scientist,Boston Consulting Group,"Bengaluru, Karnataka","['TensorFlow', 'Communication skills', 'Agile', 'SQL', 'Python']",https://www.simplyhired.co.in/job/iscxBq3PUPXVbIwsPY6tU-OUjVJQ8e6L_3Eo70m0c6W9hnV5MWnodw?q=data+scientist
Supply Chain Network Data & Analytics Specialist,Colgate-Palmolive,"Mumbai, Maharashtra","['Manufacturing', 'Supply chain', 'SQL', 'Spring', 'R', ""Bachelor's degree"", ""Master's degree"", 'M.B.A.']",https://www.simplyhired.co.in/job/9LhEc7XC6XiS8ROC2gSQiMuQub04_62xsI5t2noD8yqdDZinQINWLg?q=data+scientist
Engineering Leader - Machine Learning,Eightfold.AI,India,"['TensorFlow', 'C++', 'Scala', 'APIs', 'Hadoop', 'B.Sc', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/tvMd_2YrcOGZ4ulzSCAmMvvuNuEnJXBdkxvwgJIicVnnP6xn1Hpr0Q?q=data+scientist
Data Scientist,Rudrateck Solution,"Mumbai, Maharashtra","['Go', 'Azure', 'SQL', 'Python', 'GIS']",https://www.simplyhired.co.in/job/H4If3Y_Vyi7hBQAlP_qwMEQHQXzxju1silTazogCSP_jxe4IYHztgA?q=data+scientist
Faculty- Artificial Intelligence,United Group of Initiatives,"Ernakulam, Kerala","['.NET', 'Teaching experience', 'Communication skills', 'R', 'Machine learning', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/1Q5HTnkHVLXWSO5GoFQn2WpldvCpTjgc2NxrfMHR9escMfnSCgp7Kg?q=data+scientist
Audit Reporting and Analytics Analyst,DTCC,"Chennai, Tamil Nadu","['Power BI', 'SQL', 'Tableau', 'SharePoint', 'Informatica']",https://www.simplyhired.co.in/job/OHVLXTK5OsdVclVSNxMgOHuND6QtMXRkBtyqTDzGvh0qbwbjQx7FRQ?q=data+scientist
Data Scientist - Python,V R Della IT Services Private Limited,"Tiruchchirappalli, Tamil Nadu","['SQL', 'NoSQL', 'jQuery', 'OOP', 'Machine learning']",https://www.simplyhired.co.in/job/lAvGlPyJ9a39gTEkisWynZWSHfsy3fb2AnbbvpchgExnbY8C50HPgw?q=data+scientist
Data Scientist,Kaizen Enterprises,"Bengaluru, Karnataka","['Statistical analysis', 'SQL', 'NoSQL', 'SciPy', 'TensorFlow', 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/yZnKWSPzdzGoez-tKE0GAYkj8ZuWaR32MyAtlr9v1hsDqxgJvkp89A?q=data+scientist
Data Scientist,Ernst & Yong,"Hyderabad, Telangana","['Project management', 'SQL', 'Mechanical engineering', 'Communication skills', 'Python', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/Jn-qNrBipPSlcFnSJnedZnc73qufLg-Nc4ZxjPWVYIoR7a5N737pxg?q=data+scientist
Data Scientist,STRYDO TECHNOLOGIES PVT.LTD,"Vellore, Tamil Nadu",[],https://www.simplyhired.co.in/job/IBiqbUBRDJJrBpf1tG6O_fXXeQ7GF6tVp4eh7g0Y9cQacezr07mn0w?q=data+scientist
"Scientist 3, Data Science",Western Digital,"Bengaluru, Karnataka","['SQL', 'Spark', 'Apache Hive', 'NoSQL', 'Natural language processing', 'Doctoral degree', 'B.Sc', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/5-LNEUEcbf16gBoAKo5GsM_eJ4PSGZ5PImOaaVfSWDvRXydmy4kNFg?q=data+scientist
Data Scientist,SRM Technologies,"Chennai, Tamil Nadu","['Analysis skills', 'Supply chain management', 'SQL', 'Tableau', 'Supply chain analytics', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/6PNHqUMS_9gUsrkq1TIPBUdmFgqOh-0DecmbQYhYhBzMoKX7udP84Q?q=data+scientist
Data Scientist,Equifax,"Bengaluru, Karnataka","['Microsoft Access', 'Analysis skills', 'SQL', 'Microsoft Powerpoint', 'Google Suite']",https://www.simplyhired.co.in/job/vng9WK4S1ogxcwMxKvfvh4VioGlUbFwjV6CXK55opiGJly9DqH_g4A?q=data+scientist
